time_received,agency,dispatch_area,unit,call_type,location,status
07/04/2026 21:50,RFD,FIRE,T6,"# ASSIST EMS , FORCIBLE ENTRY",1700-BLK BELLEVUE AVE,Enroute
07/04/2026 21:50,RFD,FIRE,T6,"# ASSIST EMS , FORCIBLE ENTRY",1700-BLK BELLEVUE AVE,Arrived
07/04/2026 21:50,RFD,FIRE,E14,"# ASSIST EMS , FORCIBLE ENTRY",1700-BLK BELLEVUE AVE,Enroute
07/04/2026 22:01,RFD,FIRE,E1,"# BRUSH FIRE , GRASS",PEAR ST/E MAIN ST RICH,Arrived
07/04/2026 22:01,RFD,FIRE,E1,"# BRUSH FIRE , GRASS",PEAR ST/E MAIN ST RICH,Enroute
07/04/2026 22:02,RFD,FIRE,E24,"# TRASH FIRE , DUMPSTER",2600-BLK GRANITE HILL CIR,Enroute
07/04/2026 21:48,RFD,FIRE,E16,"# UTILITY INCIDENT , TRANSFORMER FIRE",4800-BLK E SEMINARY AVE,Arrived
07/04/2026 21:48,RFD,FIRE,E16,"# UTILITY INCIDENT , TRANSFORMER FIRE",4800-BLK E SEMINARY AVE,Enroute
07/04/2026 21:58,RPD,Precinct 2,212A7,"ASSIST - OTHER AGENCY OR CALLER , CITIZEN",4600-BLK HAWORTH RD,Enroute
07/04/2026 21:39,RPD,Precinct 1,C3063,"ASSIST - OTHER AGENCY OR CALLER , OTHER AGENCY OR DEPARTMENT",BROWNS ISLAND WAY/TREDEGAR ST RICH,Arrived
07/04/2026 21:39,RPD,Precinct 1,C3063,"ASSIST - OTHER AGENCY OR CALLER , OTHER AGENCY OR DEPARTMENT",BROWNS ISLAND WAY/TREDEGAR ST RICH,Dispatched
07/04/2026 21:50,RPD,Precinct 4,411B7,"ASSIST FIRE DEPARTMENT , NON-EMERGENCY",1700-BLK BELLEVUE AVE,Enroute
07/04/2026 21:50,RPD,Precinct 4,411B7,"ASSIST FIRE DEPARTMENT , NON-EMERGENCY",1700-BLK BELLEVUE AVE,Dispatched
07/04/2026 21:40,RPD,Precinct 3,312A5,"ASSIST FIRE DEPARTMENT , TRAFFIC AND/OR CROWD CONTROL",6000-BLK GLENWAY CT,Arrived
07/04/2026 21:56,RFD,FIRE,E21,"CRASH , HAZARD CONTROL",3200-BLK CULLENWOOD DR,Arrived
07/04/2026 21:56,RFD,FIRE,E21,"CRASH , HAZARD CONTROL",3200-BLK CULLENWOOD DR,Enroute
07/04/2026 22:00,RFD,FIRE,E6,"CRASH , HAZARD CONTROL",N HAMILTON ST/W BROAD ST RICH,Enroute
07/04/2026 22:00,RFD,FIRE,E6,"CRASH , HAZARD CONTROL",N HAMILTON ST/W BROAD ST RICH,Arrived
07/04/2026 21:56,RPD,Precinct 2,213C9,"CRASH , PERSONAL INJURY",3200-BLK CULLENWOOD DR,Enroute
07/04/2026 21:56,RPD,Precinct 2,206,"CRASH , PERSONAL INJURY",3200-BLK CULLENWOOD DR,Arrived
07/04/2026 21:57,RPD,Precinct 4,412A5,"CRASH , PERSONAL INJURY",3800-BLK W BROAD ST,Enroute
07/04/2026 21:57,RPD,Precinct 4,311B5,"CRASH , PERSONAL INJURY",3800-BLK W BROAD ST,Dispatched
07/04/2026 21:57,RPD,Precinct 4,311B5,"CRASH , PERSONAL INJURY",3800-BLK W BROAD ST,Arrived
07/04/2026 22:00,RPD,Precinct 3,311B5,"CRASH , PERSONAL INJURY",N HAMILTON ST/W BROAD ST RICH,Arrived
07/04/2026 22:00,RPD,Precinct 3,311B6,"CRASH , PERSONAL INJURY",N HAMILTON ST/W BROAD ST RICH,Enroute
07/04/2026 21:25,RPD,Precinct 4,412B7,"CRASH , PROPERTY DAMAGE",1300-BLK N ARTHUR ASHE BLVD,Arrived
07/04/2026 21:57,RPD,Precinct 4,412A5,"CRASH , PROPERTY DAMAGE",3800-BLK W BROAD ST,Enroute
07/04/2026 20:06,RPD,Precinct 2,211B4,"CRASH , PROPERTY DAMAGE",SWANSBORO LN/HULL ST RICH,Arrived
07/04/2026 21:39,RPD,Precinct 4,412A7,"DESTRUCTION OF PROPERTY , INVESTIGATE",2900-BLK N ARTHUR ASHE BLVD,Arrived
07/04/2026 21:39,RPD,Precinct 4,412A7,"DISORDERLY , AGGRESSIVE",2900-BLK N ARTHUR ASHE BLVD,Arrived
07/04/2026 21:39,RPD,Precinct 4,411C7,"DISORDERLY , AGGRESSIVE",2900-BLK N ARTHUR ASHE BLVD,Enroute
07/04/2026 21:28,RPD,Precinct 2,212B6,"DISORDERLY , INVESTIGATE",1100-BLK PIERPONT RD,Arrived
07/04/2026 21:18,RPD,Precinct 1,112B7,"DISORDERLY , INVESTIGATE",1200-BLK HULL ST,Enroute
07/04/2026 21:18,RPD,Precinct 1,113A4,"DISORDERLY , INVESTIGATE",1200-BLK HULL ST,Enroute
07/04/2026 21:18,RPD,Precinct 1,109,"DISORDERLY , INVESTIGATE",1200-BLK HULL ST,Enroute
07/04/2026 21:55,RPD,Precinct 2,213B8,"DISORDERLY , INVESTIGATE",2600-BLK BELT BLVD,Enroute
07/04/2026 21:55,RPD,Precinct 2,213B8,"DISORDERLY , INVESTIGATE",2600-BLK BELT BLVD,Arrived
07/04/2026 21:51,RPD,Precinct 3,311A6,"DISORDERLY , INVESTIGATE",4800-BLK W BROAD ST,Arrived
07/04/2026 21:51,RPD,Precinct 3,311A6,"DISORDERLY , INVESTIGATE",4800-BLK W BROAD ST,Enroute
07/04/2026 19:40,RPD,DPR,211B5,"DOMESTIC TROUBLE , DPR Call - Advice Only",600-BLK HOLLY SPRING AVE,Arrived
07/04/2026 16:29,RPD,Precinct 4,411B5,"DOMESTIC TROUBLE , INVESTIGATE",400-BLK E LADIES MILE RD,Enroute
07/04/2026 19:25,RPD,Precinct 4,470,"FOUND PROPERTY , INVESTIGATE",2200-BLK CHAMBERLAYNE PKWY,Arrived
07/04/2026 21:14,RPD,Precinct 3,312A5,"HOTSPOT-CURVE , WITH FLASHING BLUE LIGHTS",W 42ND ST/RIVERSIDE DR RICH,Arrived
07/04/2026 16:36,RPD,Precinct 4,412C5,"IN-PROGRESS (Assault or battery by mob) , IN-PROGRESS- EMS",2700-BLK W BROAD ST,Arrived
07/04/2026 20:44,RPD,Precinct 3,S04401,"LARCENY , DPR Call - Take a Report",2400-BLK SHEILA LN,Arrived
07/04/2026 21:51,RPD,Precinct 3,311A6,"MENTAL SUBJECT , INVESTIGATE EMS",4800-BLK W BROAD ST,Enroute
07/04/2026 21:51,RPD,Precinct 3,311A6,"MENTAL SUBJECT , INVESTIGATE EMS",4800-BLK W BROAD ST,Arrived
07/04/2026 22:06,RPD,Precinct 2,211B5,"MENTAL SUBJECT , MENTAL SUBJECT EMERGENT",900-BLK LEGION AVE,Arrived
07/04/2026 22:06,RPD,Precinct 2,211B5,"MENTAL SUBJECT , MENTAL SUBJECT EMERGENT",900-BLK LEGION AVE,Enroute
07/04/2026 15:58,RPD,Precinct 4,411C5,"MENTAL SUBJECT , TDO / ECO",1300-BLK E MARSHALL ST,Arrived
07/04/2026 14:50,RPD,Precinct 2,250,"MENTAL SUBJECT , TDO / ECO",1600-BLK SKIPWITH RD,Enroute
07/04/2026 21:30,RPD,Precinct 1,147,"OCCP STRUCTURE OR VEH , INVESTIGATE / NON - EMS",2100-BLK P ST,Arrived
07/04/2026 21:30,RPD,Precinct 1,147,"OCCP STRUCTURE OR VEH , INVESTIGATE / NON - EMS",2100-BLK P ST,Enroute
07/04/2026 21:32,RPD,Precinct 1,141,"PARKING COMPLAINT , INVESTIGATE",N 30TH ST/LIBBY TER RICH,Enroute
07/04/2026 21:50,RPD,Precinct 3,312A6,"PARKING COMPLAINT , INVESTIGATE",RICH: @REEDY CREEK - JAMES RIVER PARK,Arrived
07/04/2026 21:50,RPD,Precinct 3,312C5,"PARKING COMPLAINT , INVESTIGATE",RICH: @REEDY CREEK - JAMES RIVER PARK,Arrived
07/04/2026 21:50,RPD,Precinct 1,X1,"RANDOM GUNFIRE , INVESTIGATE",2200-BLK EDWARDS AVE,Dispatched
07/04/2026 20:48,RPD,Precinct 2,212A6,"RANDOM GUNFIRE , INVESTIGATE",5200-BLK TROY RD,Arrived
07/04/2026 21:45,RPD,Precinct 1,141,"RANDOM GUNFIRE , INVESTIGATE",N 35TH ST/CANEPA ST RICH,Enroute
07/04/2026 21:45,RPD,Precinct 1,141,"RANDOM GUNFIRE , INVESTIGATE",N 35TH ST/CANEPA ST RICH,Arrived
07/04/2026 21:46,RPD,Precinct 4,413B5,"SUSPICIOUS , INVESTIGATE",1801-BLK BROOK RD,Arrived
07/04/2026 21:59,RPD,Precinct 4,413B5,"TRAFFIC COMPLAINT , INVESTIGATE",S BELVIDERE ST RICH: @LEE BRIDGE - NB,Arrived
07/04/2026 21:59,RPD,Precinct 4,412A7,"TRAFFIC COMPLAINT , INVESTIGATE",S BELVIDERE ST RICH: @LEE BRIDGE - NB,Dispatched
07/04/2026 21:59,RPD,Precinct 4,413C7,"TRAFFIC COMPLAINT , INVESTIGATE",S BELVIDERE ST RICH: @LEE BRIDGE - NB,Arrived
07/04/2026 21:13,RPD,Precinct 3,312C5,"UNNECESSARY NOISE , INVESTIGATE",1100-BLK LEICESTER RD,Dispatched
07/04/2026 20:07,RPD,Precinct 4,663,"WALKING ASSIGNMENT , OFFICER INITIATED",AZALEA AVE/CHAMBERLAYNE AVE RICH,Arrived
07/04/2026 21:25,RPD,Precinct 1,112B7,"WALKING ASSIGNMENT , OFFICER INITIATED",HENR: @ROCKETTS LANDING,Arrived
07/04/2026 21:26,RPD,Precinct 3,312A6,"WALKING ASSIGNMENT , OFFICER INITIATED",W 22ND ST/RIVERSIDE DR RICH,Arrived
07/04/2026 22:03,RPD,Precinct 1,654,"WANTED PERSON , INVESTIGATE",AMBROSE ST/DEFORREST ST RICH,Arrived
07/04/2026 21:10,RPD,Precinct 1,K2,"WANTED PERSON , INVESTIGATE",BETHEL ST/DEFORREST ST RICH,Enroute
07/04/2026 20:48,RPD,Precinct 4,407,"WELFARE CHECK , INVESTIGATE",1600-BLK ROBIN HOOD RD,Enroute
07/04/2026 20:48,RPD,Precinct 4,407,"WELFARE CHECK , INVESTIGATE",1600-BLK ROBIN HOOD RD,Arrived
07/04/2026 20:48,RPD,Precinct 4,412A5,"WELFARE CHECK , INVESTIGATE",1600-BLK ROBIN HOOD RD,Enroute
